mol_name,activity,potency
CHEMBL263029,Active,8.2345
CHEMBL367311,Active,8.126
CHEMBL368371,Active,8.1685
CHEMBL435715,Active,7.319
CHEMBL197496,Active,8.699
CHEMBL198529,Active,7.745
CHEMBL25259,Active,6.7996
CHEMBL312717,Active,6.544
CHEMBL82602,Active,7.81
CHEMBL81676,Active,7.06
CHEMBL321634,Active,6.43433333333333
CHEMBL79426,Active,6.362
CHEMBL264385,Active,7.909
CHEMBL66206,Active,6.216
CHEMBL78529,Active,6.562
CHEMBL189712,Active,6.784
CHEMBL309882,Active,7.342
CHEMBL222121,Active,6.055
CHEMBL363018,Active,7.409
CHEMBL2204610,Active,7.092
CHEMBL2237301,Active,8.05
CHEMBL2037007,Active,6.325
CHEMBL230305,Active,7.041
CHEMBL230409,Active,7.921
CHEMBL230410,Active,7.638
CHEMBL230411,Active,7.939
CHEMBL230517,Active,8.398
CHEMBL230518,Active,8.456
CHEMBL230622,Active,6.857
CHEMBL230623,Active,8
CHEMBL230705,Active,8.886
CHEMBL230706,Active,8.509
CHEMBL230707,Active,7.495
CHEMBL230814,Active,7.585
CHEMBL231425,Active,7.721
CHEMBL231523,Active,8.31
CHEMBL388008,Active,7.932
CHEMBL388422,Active,7.921
CHEMBL388645,Active,8.658
CHEMBL389297,Active,7.975
CHEMBL389298,Active,7.721
CHEMBL4245047,Active,6.081
CHEMBL4437601,Active,7.509
CHEMBL4443452,Active,6.018
CHEMBL4448458,Active,6.013
CHEMBL4448658,Active,7.284
CHEMBL4454550,Active,6.237
CHEMBL4455529,Active,7.538
CHEMBL4455560,Active,7.745
CHEMBL4465958,Active,7.174
CHEMBL4466987,Active,6.268
CHEMBL4468237,Active,6.092
CHEMBL4468359,Active,6.444
CHEMBL4540905,Active,7.252
CHEMBL4550448,Active,7.569
CHEMBL4561177,Active,6.131
CHEMBL4564731,Active,6.114
CHEMBL4591150,Active,6.032
CHEMBL4592059,Active,7.398
CHEMBL1089176,Active,6.211
CHEMBL253952,Active,6.746
CHEMBL3398444,Active,7.347
CHEMBL3398438,Active,7.119
CHEMBL3398443,Active,6.701
CHEMBL3398439,Active,6.094
CHEMBL3398445,Active,6.301
CHEMBL3398459,Active,6.611
CHEMBL257164,Active,6.448
CHEMBL3398440,Active,6.824
CHEMBL3398442,Active,8.222
CHEMBL3398455,Active,6.699
CHEMBL3398456,Active,8.097
CHEMBL3398458,Active,7.699
CHEMBL3398460,Active,8
CHEMBL3398461,Active,6.009
CHEMBL3398462,Active,8.222
CHEMBL3398463,Active,6.071
CHEMBL455157,Active,8.398
CHEMBL457062,Active,6.244
CHEMBL460278,Active,8
CHEMBL462554,Active,7.377
CHEMBL462580,Active,7.301
CHEMBL470322,Active,7.071
CHEMBL471533,Active,6.137
CHEMBL472399,Active,7.046
CHEMBL472571,Active,8.398
CHEMBL473300,Active,7.027
CHEMBL513035,Active,8.097
CHEMBL513594,Active,7.699
CHEMBL515667,Active,6.699
CHEMBL516824,Active,6.417
CHEMBL516964,Active,7.495
CHEMBL518348,Active,8
CHEMBL87380,Active,6.157
CHEMBL421729,Active,6.127
CHEMBL420973,Active,6.047
CHEMBL144489,Active,6.305
CHEMBL245454,Active,6.523
CHEMBL246279,Active,7.699
CHEMBL246485,Active,7.301
CHEMBL247110,Active,6.301
CHEMBL247111,Active,7.046
CHEMBL247314,Active,7.523
CHEMBL247937,Active,7.699
CHEMBL248112,Active,7.699
CHEMBL248113,Active,7.699
CHEMBL248318,Active,8.699
CHEMBL396154,Active,8.398
CHEMBL397331,Active,7.222
CHEMBL483351,Active,6.557
CHEMBL508299,Active,6.15
CHEMBL484329,Active,6.106
CHEMBL521131,Active,7.018
CHEMBL1090188,Active,6.593
CHEMBL1089970,Active,6.967
CHEMBL270835,Active,7
CHEMBL270961,Active,7.523
CHEMBL271394,Active,8.523
CHEMBL271775,Active,7.523
CHEMBL271776,Active,7.523
CHEMBL271873,Active,7.523
CHEMBL272175,Active,7.523
CHEMBL272466,Active,7.523
CHEMBL273035,Active,7.523
CHEMBL273036,Active,6.523
CHEMBL407950,Active,6.523
CHEMBL410704,Active,8
CHEMBL410705,Active,8
CHEMBL447533,Active,7.523
CHEMBL513145,Active,10.051
CHEMBL220533,Active,6.815
CHEMBL221123,Active,7.007
CHEMBL221184,Active,7.569
CHEMBL221474,Active,7.921
CHEMBL221525,Active,7.268
CHEMBL221641,Active,7.796
CHEMBL221649,Active,6.56
CHEMBL374448,Active,6.687
CHEMBL386957,Active,7.201
CHEMBL425639,Active,7.14
CHEMBL426550,Active,6.817
CHEMBL221388,Active,6.218
CHEMBL218487,Active,6.7345
CHEMBL220655,Active,6.646
CHEMBL221489,Active,6.062
CHEMBL244573,Active,6.33
CHEMBL244574,Active,7.102
CHEMBL244575,Active,6.73
CHEMBL395560,Active,7.027
CHEMBL396496,Active,7.481
CHEMBL428037,Active,7.027
CHEMBL244786,Active,7.194
CHEMBL258832,Active,7.469
CHEMBL259055,Active,7.553
CHEMBL259856,Active,7
CHEMBL261555,Active,7.013
CHEMBL408941,Active,6.322
CHEMBL409355,Active,7.155
CHEMBL409513,Active,6.939
CHEMBL411045,Active,7.432
CHEMBL221074,Active,8.347
CHEMBL218094,Active,7.155
CHEMBL218637,Active,7.523
CHEMBL218687,Active,6.678
CHEMBL218691,Active,8
CHEMBL218784,Active,6.921
CHEMBL219587,Active,7.398
CHEMBL219626,Active,8.398
CHEMBL220281,Active,8
CHEMBL220926,Active,6.62
CHEMBL221201,Active,6.959
CHEMBL375760,Active,8.398
CHEMBL375761,Active,6.333
CHEMBL376641,Active,8.398
CHEMBL3354989,Active,8.398
CHEMBL550332,Active,7.31
CHEMBL551420,Active,6.658
CHEMBL551479,Active,7.959
CHEMBL551884,Active,6.409
CHEMBL552347,Active,6.538
CHEMBL557342,Active,7.071
CHEMBL558072,Active,6.721
CHEMBL558141,Active,7.252
CHEMBL560205,Active,6.26
CHEMBL560484,Active,7.046
CHEMBL561544,Active,7.678
CHEMBL563351,Active,6.959
CHEMBL563546,Active,6.824
CHEMBL564017,Active,7.602
CHEMBL201036,Active,6.407
CHEMBL437479,Active,6.915
CHEMBL216395,Active,6.55
CHEMBL384746,Active,6.686
CHEMBL414868,Active,7.495
CHEMBL446489,Active,7.523
CHEMBL451216,Active,7.523
CHEMBL454508,Active,6.699
CHEMBL492324,Active,7.398
CHEMBL492534,Active,6.886
CHEMBL492535,Active,7.301
CHEMBL494142,Active,7.523
CHEMBL506730,Active,6.886
CHEMBL522366,Active,6.886
CHEMBL190334,Active,6.878
CHEMBL192609,Active,6.405
CHEMBL363780,Active,7.745
CHEMBL425725,Active,7.77
CHEMBL426269,Active,6.637
CHEMBL190976,Active,6.886
CHEMBL96143,Active,7.007
CHEMBL96451,Active,7.328
CHEMBL318684,Active,7.125
CHEMBL328615,Active,6.799
CHEMBL420441,Active,6.854
CHEMBL117738,Active,6.936
CHEMBL119496,Active,6.903
CHEMBL122418,Active,7.215
CHEMBL2037009,Active,6.469
CHEMBL2037010,Active,7.022
CHEMBL1783034,Active,7.328
CHEMBL2037181,Active,7.377
CHEMBL2037183,Active,7.046
CHEMBL2204594,Active,7.495
CHEMBL2204595,Active,8.77
CHEMBL2204596,Active,8.046
CHEMBL2204597,Active,8.409
CHEMBL2204598,Active,8.292
CHEMBL2204599,Active,7.886
CHEMBL2204600,Active,8.092
CHEMBL2204602,Active,7.585
CHEMBL2204603,Active,6.301
CHEMBL2204604,Active,7.252
CHEMBL2204605,Active,6.174
CHEMBL1934484,Active,8.222
CHEMBL1934310,Active,6.119
CHEMBL1934312,Active,6.071
CHEMBL1934313,Active,6.155
CHEMBL1934317,Active,8.301
CHEMBL1934472,Active,6.921
CHEMBL1934480,Active,7.143
CHEMBL1934481,Active,7.585
CHEMBL1934482,Active,7.276
CHEMBL1934483,Active,7.678
CHEMBL1934485,Active,7.638
CHEMBL1934486,Active,7.432
CHEMBL1088098,Active,6.839
CHEMBL1088099,Active,7.658
CHEMBL1088114,Active,7.18
CHEMBL1088246,Active,6.327
CHEMBL1088257,Active,7.292
CHEMBL1088515,Active,7.886
CHEMBL203409,Active,7.218
CHEMBL424674,Active,8.53
CHEMBL424685,Active,8.824
CHEMBL202739,Active,7.606
CHEMBL202973,Active,7.684
CHEMBL203338,Active,7.908
CHEMBL203408,Active,8.347
CHEMBL203621,Active,8.426
CHEMBL205803,Active,8.051
CHEMBL206202,Active,9
CHEMBL206759,Active,7.444
CHEMBL382178,Active,8.593
CHEMBL256468,Active,8
CHEMBL257517,Active,8.097
CHEMBL271240,Active,7.155
CHEMBL271739,Active,7.959
CHEMBL272336,Active,8.301
CHEMBL272962,Active,7.046
CHEMBL403847,Active,6.854
CHEMBL404451,Active,6.013
CHEMBL404646,Active,7.398
CHEMBL411118,Active,6.824
CHEMBL429734,Active,7.222
CHEMBL253417,Active,6.888
CHEMBL253851,Active,6.926
CHEMBL254054,Active,7.668
CHEMBL398677,Active,7.939
CHEMBL399629,Active,7.611
CHEMBL252996,Active,6.71
CHEMBL537921,Active,8.046
CHEMBL554562,Active,6
CHEMBL556643,Active,7.469
CHEMBL562659,Active,7.137
CHEMBL565198,Active,6.943
CHEMBL3905544,Active,6.824
CHEMBL3920527,Active,6.481
CHEMBL3957862,Active,6
CHEMBL3981588,Active,6.495
CHEMBL4093975,Active,6.62
CHEMBL4444610,Active,7
CHEMBL4454087,Active,7
CHEMBL4475061,Active,6.886
CHEMBL4528723,Active,7.481
CHEMBL4558447,Active,7.77
CHEMBL591055,Active,7.301
CHEMBL591347,Active,6.301
CHEMBL591348,Active,7.699
CHEMBL591533,Active,8
CHEMBL591534,Active,6.398
CHEMBL592234,Active,8.523
CHEMBL592235,Active,7
CHEMBL592236,Active,8.699
CHEMBL603612,Active,8.301
CHEMBL606462,Active,7.301
CHEMBL259973,Active,6.91
CHEMBL260839,Active,6.192
CHEMBL260840,Active,6.527
CHEMBL409215,Active,6.298
CHEMBL1813004,Active,8.523
CHEMBL1813005,Active,13.222
CHEMBL1813006,Active,13.301
CHEMBL1813007,Active,7.699
CHEMBL1813010,Active,13.155
CHEMBL1813011,Active,12.509
CHEMBL470144,Active,6.347
CHEMBL1956364,Active,6
CHEMBL2375947,Active,6.23
CHEMBL2375948,Active,6.2
CHEMBL383986,Active,6.868
CHEMBL434945,Active,6.215
CHEMBL246203,Active,7.108
CHEMBL246204,Active,6.263
CHEMBL246205,Active,6.523
CHEMBL246206,Active,6.298
CHEMBL246208,Active,6.353
CHEMBL248261,Active,6.098
CHEMBL400309,Active,6.051
CHEMBL189066,Active,6.796
CHEMBL190938,Active,6.771
CHEMBL188751,Active,7.314
CHEMBL191235,Active,6.839
CHEMBL191276,Active,7.116
CHEMBL364467,Active,7.122
CHEMBL370021,Active,7.155
CHEMBL371195,Active,6.688
CHEMBL426451,Active,6.585
CHEMBL253310,Active,9.523
CHEMBL253520,Active,7.097
CHEMBL254744,Active,7.222
CHEMBL254946,Active,7.301
CHEMBL402100,Active,6.347
CHEMBL403637,Active,7.222
CHEMBL404467,Active,6
CHEMBL427890,Active,8.523
CHEMBL20392,Active,8.46
CHEMBL20280,Active,8.046
CHEMBL20495,Active,8.222
CHEMBL21105,Active,7
CHEMBL21706,Active,9
CHEMBL281791,Active,7.699
CHEMBL2088421,Active,9.553
CHEMBL2088422,Active,9.229
CHEMBL3103193,Active,6.673
CHEMBL3103197,Active,7.469
CHEMBL3103198,Active,7.218
CHEMBL3103194,Active,6.197
CHEMBL3103195,Active,7.194
CHEMBL3103196,Active,7.585
CHEMBL3103199,Active,6.186
CHEMBL455158,Active,7.347
CHEMBL461145,Active,7.347
CHEMBL461533,Active,7.699
CHEMBL509680,Active,7.301
CHEMBL516510,Active,7.18
CHEMBL363006,Active,6.671
CHEMBL201653,Active,6.273
CHEMBL425766,Active,6.482
CHEMBL202617,Active,6.384
CHEMBL1081354,Active,6.886
CHEMBL1081355,Active,6.921
CHEMBL1086861,Active,6.244
CHEMBL4448919,Active,6.046
CHEMBL4072395,Active,6.378
CHEMBL4074391,Active,6.585
CHEMBL4093146,Active,6.516
CHEMBL4094877,Active,6.02
CHEMBL4101596,Active,6.102
CHEMBL4103575,Active,6.796
CHEMBL3318039,Active,6.757
CHEMBL3318040,Active,6.668
CHEMBL3318041,Active,6.319
CHEMBL518038,Active,6
CHEMBL3318037,Active,6.456
CHEMBL456792,Active,6.721
CHEMBL1630381,Active,7.08
CHEMBL1630382,Active,6.921
CHEMBL1630383,Active,6.456
CHEMBL1630384,Active,7.609
CHEMBL1630386,Active,7.405
CHEMBL1084320,Active,6.222
CHEMBL1084321,Active,6.523
CHEMBL1085062,Active,6.155
CHEMBL1085795,Active,7.699
CHEMBL1085796,Active,6
CHEMBL1086515,Active,6
CHEMBL443910,Active,7
CHEMBL455853,Active,6.041
CHEMBL476197,Active,6.77
CHEMBL477644,Active,6.143
CHEMBL514568,Active,7
CHEMBL515666,Active,6.041
CHEMBL474149,Active,6.647
CHEMBL474157,Active,6.979
CHEMBL491142,Active,7.488
CHEMBL514328,Active,6.111
CHEMBL474148,Active,6.188
CHEMBL514007,Active,6.9
CHEMBL467349,Active,9.565
CHEMBL468160,Active,10.523
CHEMBL512084,Active,8.963
CHEMBL512789,Active,8.377
CHEMBL549746,Active,6.301
CHEMBL552240,Active,6.638
CHEMBL560830,Active,6.733
CHEMBL562864,Active,8.699
CHEMBL564036,Active,6.42
CHEMBL564902,Active,6.432
CHEMBL239353,Active,6.212
CHEMBL239561,Active,6.193
CHEMBL240437,Active,6.921
CHEMBL240459,Active,6.036
CHEMBL392474,Active,6.248
CHEMBL430182,Active,6.372
CHEMBL375370,Active,7.0715
CHEMBL119911,Active,6.638
CHEMBL4466709,Active,6.301
CHEMBL4471421,Active,6.602
CHEMBL4474407,Active,6.155
CHEMBL4571498,Active,6.046
CHEMBL4586557,Active,6
CHEMBL3945367,Active,6.569
CHEMBL3948805,Active,6.699
CHEMBL3957467,Active,7.252
CHEMBL3962832,Active,6.62
CHEMBL4110590,Active,6.62
CHEMBL3398449,Active,6.77
CHEMBL3398451,Active,6
CHEMBL2206303,Active,6.208
CHEMBL2206304,Active,6.914
CHEMBL2035057,Active,6.065
CHEMBL2035068,Active,6.868
CHEMBL2035069,Active,7.456
CHEMBL2035070,Active,6.364
CHEMBL2035071,Active,6.228
CHEMBL1087590,Active,7.332
CHEMBL1087593,Active,7.379
CHEMBL1087594,Active,6.517
CHEMBL279211,Active,8.046
CHEMBL281608,Active,7.301
CHEMBL230519,Active,6.979
CHEMBL248906,Active,7.344
CHEMBL124842,Active,6.102
CHEMBL125230,Active,6.824
CHEMBL340011,Active,6.387
CHEMBL435278,Active,6.77
CHEMBL87928,Active,6.523
CHEMBL89996,Active,6.398
CHEMBL110743,Active,6.71
CHEMBL111271,Active,6.31
CHEMBL221850,Active,6.625
CHEMBL222117,Active,6.468
CHEMBL374296,Active,6.084
CHEMBL220708,Active,6.361
CHEMBL237307,Active,6.47
CHEMBL236876,Active,6.235
CHEMBL237085,Active,6.378
CHEMBL237518,Active,6.409
CHEMBL392717,Active,6.133
CHEMBL203940,Active,7.128
CHEMBL205725,Active,7.094
CHEMBL377508,Active,7.297
CHEMBL380837,Active,7.545
CHEMBL147384,Active,6.81
CHEMBL356382,Active,6.59666666666667
CHEMBL2282523,Active,6.34
CHEMBL474295,Active,6.339
CHEMBL147095,Active,6.79
CHEMBL589747,Active,6.398
CHEMBL481683,Active,7.469
CHEMBL482334,Active,7.357
CHEMBL331469,Active,6.495
CHEMBL118887,Active,6.507
CHEMBL121206,Active,6.73
CHEMBL381477,Active,6.535
CHEMBL478725,Active,6.177
CHEMBL593796,Active,6.987
CHEMBL593801,Active,6.052
CHEMBL594034,Active,7.323
CHEMBL118251,Active,6.479
CHEMBL122417,Active,7.177
CHEMBL2037184,Active,6.201
CHEMBL4453610,Active,6.092
CHEMBL4461949,Active,6.292
CHEMBL4471853,Active,6.42
CHEMBL4092600,Active,8.231
CHEMBL4064900,Active,7.409
CHEMBL4100336,Active,7
CHEMBL3916538,Active,7.538
CHEMBL3919950,Active,6.119
CHEMBL3982893,Active,6.796
CHEMBL1934471,Active,6.602
CHEMBL1934473,Active,6.092
CHEMBL1934314,Active,6.092
CHEMBL485155,Active,6
CHEMBL485179,Active,6.301
CHEMBL520508,Active,6.301
CHEMBL468159,Active,9.222
CHEMBL234819,Active,7.155
CHEMBL393381,Active,6.42
CHEMBL394031,Active,6.585
CHEMBL147721,Active,6.149
CHEMBL345009,Active,6.523
CHEMBL355695,Active,6.659
CHEMBL166637,Active,6.852
CHEMBL166628,Active,6.174
CHEMBL118577,Active,7.046
CHEMBL118816,Active,6.854
CHEMBL324027,Active,7.523
CHEMBL491750,Active,6.475
CHEMBL491751,Active,7.342
CHEMBL23874,Active,7.06
CHEMBL1783033,Active,7
CHEMBL4519542,Active,6
CHEMBL4535730,Active,6
CHEMBL4593987,Active,6.735
CHEMBL4464538,Active,6.398
CHEMBL4519376,Active,6.114
CHEMBL4436335,Active,7.569
CHEMBL4470753,Active,8.097
CHEMBL4516239,Active,6.415
CHEMBL4454999,Active,6.18
CHEMBL4457812,Active,6.167
CHEMBL4543257,Active,6.337
CHEMBL4160945,Active,6
CHEMBL4167789,Active,6
CHEMBL4174996,Active,6.523
CHEMBL4060007,Active,6.117
CHEMBL1828826,Active,6
CHEMBL3752643,Active,6.097
CHEMBL3753965,Active,6.119
